termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
apple tv,MLA1476588829,Apple Tv (3era Generación) Modelo A1427,70000.0,https://articulo.mercadolibre.com.ar/MLA-1476588829-apple-tv-3era-generacion-modelo-a1427-_JM,411388685,used,1,
apple tv,MLA2006658576,Apple Tv ,59900.0,https://articulo.mercadolibre.com.ar/MLA-2006658576-apple-tv-_JM,58348106,used,1,
apple tv,MLA2012548500, Apple Tv  3.ª Generación (year 2012),45000.0,https://articulo.mercadolibre.com.ar/MLA-2012548500-apple-tv-3-generacion-year-2012-_JM,42544866,used,1,
apple tv,MLA2022080648,Apple Tv 4k 32 Gb,265000.0,https://articulo.mercadolibre.com.ar/MLA-2022080648-apple-tv-4k-32-gb-_JM,40893214,used,1,
apple tv,MLA1473540963,"Apple Tv A1469 3.ª Gen. Full Hd 8gb, 512mb Ram",35000.0,https://articulo.mercadolibre.com.ar/MLA-1473540963-apple-tv-a1469-3-gen-full-hd-8gb-512mb-ram-_JM,31471346,used,1,
apple tv,MLA2023381720,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3ra Gen 128gb Negro De Voz,280000.0,https://www.mercadolibre.com.ar/apple-tv-4k-wifi--ethernet-a2843-de-voz-3ra-gen-128gb/up/MLAU3048172716#wid=MLA2023381720&sid=unknown,617463474,used,1,
apple tv,MLA1997731548,Apple Tv 2da Generacion Usado Impecable,45000.0,https://articulo.mercadolibre.com.ar/MLA-1997731548-apple-tv-2da-generacion-usado-impecable-_JM,66393546,used,1,
apple tv,MLA2023980118,Apple Tv Estándar 1.ª Generación 2007,35000.0,https://articulo.mercadolibre.com.ar/MLA-2023980118-apple-tv-estandar-1-generacion-2007-_JM,99195393,used,1,
apple tv,MLA1480288485,Apple Tv Hd 1080p 2015 A1625 32 Gb 4 Generacion Negro De Voz,159000.0,https://www.mercadolibre.com.ar/apple-tv-hd-1080p-2015-a1625-32-gb-4-generacion/up/MLAU3046837087#wid=MLA1480288485&sid=unknown,3441546,used,1,
apple tv,MLA1478333831,Apple Tv 4k A2169 De Voz 2.a Generación 2021 4k 32gb Negro,250000.0,https://articulo.mercadolibre.com.ar/MLA-1478333831-apple-tv-4k-a2169-de-voz-2a-generacion-2021-4k-32gb-negro-_JM,27918875,used,1,
apple tv,MLA1472440651,Apple Tv 4k + Ethernet A2843  3 Gen 2022 4k 128gb Negro,310000.0,https://articulo.mercadolibre.com.ar/MLA-1472440651-apple-tv-4k-ethernet-a2843-3-gen-2022-4k-128gb-negro-_JM,589428,used,1,
apple tv,MLA1476622533,Apple Tv A1427 Estándar 3.a Generación,39990.0,https://articulo.mercadolibre.com.ar/MLA-1476622533-apple-tv-a1427-estandar-3a-generacion-_JM,45581120,used,1,
apple tv,MLA1986916438,Apple Tv A1218 Estándar 1.ª,30000.0,https://articulo.mercadolibre.com.ar/MLA-1986916438-apple-tv-a1218-estandar-1-_JM,35040364,used,1,
apple tv,MLA2009899242, Apple Tv Hd A1625 ,160000.0,https://articulo.mercadolibre.com.ar/MLA-2009899242-apple-tv-hd-a1625-_JM,108337439,used,1,
